"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q401";"SOT-23";1;"DMN3404L";;;
2;"R403,R402";"R_0402_1005Metric";2;"36R 0402";;;
3;"U201";"QFN-48-1EP_7x7mm_P0.5mm_EP5.3x5.3mm";1;"ESP32-PICO-D4";;;
4;"J301";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB4105-GF-A";;;
5;"R205";"R_0402_1005Metric";1;"0402 10k";;;
6;"U202";"QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm";1;"STM32L052K8Ux";;;
7;"SW201";"SW_SPST_B3U-1000P";1;"SW_Push";;;
8;"R204";"R_0402_1005Metric";1;"0402 33k";;;
9;"R203";"R_0402_1005Metric";1;"0402 100k";;;
10;"R202,R301,R302,R401,R201";"R_0402_1005Metric";5;"10k 0402";;;
11;"C204,C602,C101,C102,C411,C410";"C_0402_1005Metric";6;"1uF 0402";;;
12;"C205,C305,C601,C104,C407,C408,C201,C203,C401,C403,C406,C405";"C_0402_1005Metric";12;"0.1uF 0402";;;
13;"PW201";"X2-DFN1010-4";1;"AP7354-33FS4";;;
14;"H103,H102,H101";"MountingHole_1.5mm_M1_Pad_Via";3;"MountingHole_Pad";;;
15;"BAT301";"LiPo_150mAh";1;"SYM_Hot_Small";;;
16;"C301,C304,C409,C412,C404";"C_0402_1005Metric";5;"2.2uF 0402";;;
17;"PW501";"X2-DFN1010-4";1;"AP7354-18FS4";;;
18;"PW502";"X2-DFN1010-4";1;"AP7354-28FS4";;;
19;"C303,C603,C604";"C_0603_1608Metric";3;"1uF 0603 16V";;;
20;"CH301";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm_ThermalVias";1;"BQ24232";;;
21;"SW301";"MLF-6-EP-P0.5mm";1;"MIC94069";;;
22;"OEL601";"OLED_Smoll_Upsidedown";1;"VG-6432TSWAG01_IIC_sh1106";;;
23;"C606";"C_0402_1005Metric";1;"0.1uF 0402 16V";;;
24;"C607,C605";"C_0603_1608Metric";2;"2.2uF 0603 16V";;;
25;"R601";"R_0402_1005Metric";1;"560k 0402";;;
26;"M101";"PinHeader_1x02_P2.00mm_Vertical";1;"G0832013D";;;
27;"D503,D502,D504,D505,D506,D507,D508,D509,D501";"IN-PI42TAS";9;"WS2812B";;;
28;"BT301";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"Battery_Cell";;;
29;"LS101";"SP-1609S-1";1;"Speaker";;;
30;"AMP101";"QFN-16-1EP_3x3mm_P0.5mm_EP1.9x1.9mm_ThermalVias";1;"MAX98357A";;;
31;"C103";"C_0402_1005Metric";1;"10uF 0402";;;
32;"FID102,FID101,FID104";"Fiducial_1mm_Mask2mm";3;"Fiducial";;;
33;"U101";"VSSOP-10_3x3mm_P0.5mm";1;"DRV2605";;;
34;"D301";"SOD-523";1;"PESD3V3S1UB";;;
35;"U405";"TSOP75xxx";1;"TSOP75340TTCT-ND";;;
36;"D408";"LED_PLCC-2";1;"VSMB3940X01-GS08";;;
37;"D401,D404,D403,D402,D406,D407";"SMD-LX0707RGB-TR";6;"WS2812B";;;
38;"D201";"SMD-LX0707RGB-TR";1;"LX0707RGB-TR";;;
39;"C202";"C_0805_2012Metric";1;"22uF 10V 0805";;;
40;"C302";"C_0603_1608Metric";1;"10uF 0603 10V";;;
41;"PW301";"uSIP-10";1;"TPSM828214SILR";;;
42;"AE201";"0479480001";1;"0479480001";;;
43;"J201";"SOIC_clipProgSmall";1;"Conn_02x04_Counter_Clockwise";;;
44;"R102,R101";"R_0402_1005Metric";2;"2.2k 0402";;;
45;"U401";"BME680";1;"BME680";;;
46;"U402";"APDS-9500";1;"APDS-9500";;;
47;"C402";"C_0603_1608Metric";1;"10uF 0603";;;
48;"U403";"LGA-14L_2.5x3mm__LSM6DS3";1;"LSM6DSM";;;
49;"U404";"CMM-4030";1;"CMM-4030D-261-I2S-TR";;;
50;"U406";"XDCR_MAX86150EFF+";1;"MAX86150EFF+T";;;
51;"U407";"LGA-12_4.8x2.8_VL6180";1;"VL6180XV0NR_1";;;
